Categoría: Todas las categorías

Semana,vacuna: (Perú)
2020-04-26,17
2020-05-03,15
2020-05-10,15
2020-05-17,19
2020-05-24,17
2020-05-31,16
2020-06-07,14
2020-06-14,14
2020-06-21,16
2020-06-28,20
2020-07-05,15
2020-07-12,21
2020-07-19,31
2020-07-26,24
2020-08-02,30
2020-08-09,46
2020-08-16,25
2020-08-23,49
2020-08-30,28
2020-09-06,20
2020-09-13,57
2020-09-20,74
2020-09-27,22
2020-10-04,16
2020-10-11,14
2020-10-18,16
2020-10-25,24
2020-11-01,66
2020-11-08,47
2020-11-15,18
2020-11-22,19
2020-11-29,19
2020-12-06,22
2020-12-13,25
2020-12-20,23
2020-12-27,21
2021-01-03,39
2021-01-10,30
2021-01-17,24
2021-01-24,41
2021-01-31,41
2021-02-07,100
2021-02-14,63
2021-02-21,39
2021-02-28,76
2021-03-07,78
2021-03-14,63
2021-03-21,60
2021-03-28,43
2021-04-04,37
2021-04-11,41
2021-04-18,61
